domain,component,representation,n_feat,mae,spearman,n_fail,n_total,fail_rate,auc,f1,precision,recall
lightbox,E_R,mahal,1,7.024696964913215,0.2631599560421372,797,5053,0.1577280823273303,0.7257334246846727,0.4096244131455399,0.38478500551267913,0.437892095357591
lightbox,E_R,gmm,1,7.2176243730129075,0.2883679487826802,797,5053,0.1577280823273303,0.7288978995481176,0.35555555555555557,0.43399638336347196,0.30112923462986196
lightbox,E_R,scores,2,6.996767470094944,0.27920413808401534,797,5053,0.1577280823273303,0.7313742912802711,0.409261576971214,0.40823970037453183,0.410288582183187
lightbox,E_R,features,13,6.97276978840874,0.3784392604234454,797,5053,0.1577280823273303,0.754683623267705,0.45424107142857145,0.40904522613065325,0.5106649937264742
lightbox,E_R,features+scores,15,6.820881979997388,0.37178578389825057,797,5053,0.1577280823273303,0.7598029735568532,0.46311970979443773,0.4469078179696616,0.48055207026348806
lightbox,E_T,mahal,1,0.12353889698681479,0.4368095550742353,2069,5053,0.4094597268949139,0.7223072756651554,0.6184681460272011,0.49104859335038364,0.8351860802319961
lightbox,E_T,gmm,1,0.12025548408626792,0.46832676449815314,2069,5053,0.4094597268949139,0.7387871451025414,0.625124131082423,0.6426748340990301,0.6085065248912518
lightbox,E_T,scores,2,0.11881853054698893,0.4662758847833441,2069,5053,0.4094597268949139,0.7373483453559956,0.6200171086398631,0.4798728813559322,0.8757854035766071
lightbox,E_T,features,13,0.10610481665426816,0.6573035140483573,2069,5053,0.4094597268949139,0.830287228680237,0.7062101910828026,0.6003384094754654,0.8574190430159497
lightbox,E_T,features+scores,15,0.103013544240275,0.6694877992724515,2069,5053,0.4094597268949139,0.838029341602126,0.7149466908066787,0.6123363197794625,0.8588690188496858
sunlamp,E_R,mahal,1,12.931494918222212,0.18880009797999733,560,2091,0.26781444285031086,0.6182630400298592,0.43620309050772627,0.28973607038123167,0.8821428571428571
sunlamp,E_R,gmm,1,12.889656980708825,0.19470760220063324,560,2091,0.26781444285031086,0.622240365774004,0.44431946006749157,0.3243021346469622,0.7053571428571429
sunlamp,E_R,scores,2,12.850340886264405,0.18702022297012197,560,2091,0.26781444285031086,0.6171654847438648,0.4349736379613357,0.28846153846153844,0.8839285714285714
sunlamp,E_R,features,13,12.689799571188917,0.19428968301788155,560,2091,0.26781444285031086,0.6220257534757861,0.43534883720930234,0.2943396226415094,0.8357142857142857
sunlamp,E_R,features+scores,15,12.899568570374205,0.21228415291279626,560,2091,0.26781444285031086,0.6348919940281794,0.425629290617849,0.3715046604527297,0.4982142857142857
sunlamp,E_T,mahal,1,0.1584203235503226,0.3783663255633223,1318,2091,0.6303204208512674,0.6387672332731981,0.7666666666666667,0.6307541625857003,0.9772382397572079
sunlamp,E_T,gmm,1,0.16397317354458324,0.40210748742248986,1318,2091,0.6303204208512674,0.6585745778915484,0.7732472865943092,0.6303204208512674,1.0
sunlamp,E_T,scores,2,0.1587769118113086,0.3987564909221561,1318,2091,0.6303204208512674,0.6511640004946928,0.7732472865943092,0.6303204208512674,1.0
sunlamp,E_T,features,13,0.12689311850204155,0.6068047257786662,1318,2091,0.6303204208512674,0.7690746299128202,0.8103559870550162,0.7065462753950339,0.9499241274658573
sunlamp,E_T,features+scores,15,0.12285226656079327,0.6013390844648139,1318,2091,0.6303204208512674,0.7661800878276113,0.804177545691906,0.7056128293241696,0.9347496206373292
