domain,component,method,n_total,n_fail,fail_rate,auc,f1,precision,recall
lightbox,E_R,random,6737,1849,0.2744545049725397,0.5,0.2825971261309207,0.0,0.0
lightbox,E_R,supervised,6737,1849,0.2744545049725397,0.7337387219525925,0.5287830489405588,0.40470723306544204,0.7625743645213628
lightbox,E_R,importance_weighted,6737,1849,0.2744545049725397,0.7315738413916844,0.533467539003523,0.4988235294117647,0.5732828555976204
lightbox,E_T,random,6737,2758,0.4093810301321063,0.5,0.4036796536796537,0.0,0.0
lightbox,E_T,supervised,6737,2758,0.4093810301321063,0.8405303058606632,0.7156570671962926,0.6583434835566383,0.7839013778100072
lightbox,E_T,importance_weighted,6737,2758,0.4093810301321063,0.838533373452103,0.6982936433527095,0.7231067961165049,0.6751269035532995
sunlamp,E_R,random,2787,1261,0.4524578399712953,0.5,0.4625148750495835,0.0,0.0
sunlamp,E_R,supervised,2787,1261,0.4524578399712953,0.6270055490711879,0.6134103304459416,0.5150862068965517,0.7581284694686756
sunlamp,E_R,importance_weighted,2787,1261,0.4524578399712953,0.6294402183459216,0.5083370887787292,0.5887265135699373,0.44726407613005553
sunlamp,E_T,random,2787,1757,0.630426982418371,0.5,0.6283437677859989,0.630426982418371,1.0
sunlamp,E_T,supervised,2787,1757,0.630426982418371,0.8016049532798073,0.7798594847775175,0.8028933092224232,0.7581104154809334
sunlamp,E_T,importance_weighted,2787,1757,0.630426982418371,0.790426642942792,0.6810109289617486,0.8514090520922288,0.5674445076835515
