n,cut_mean,cut_std,cov_mean,cov_std,prec_E_R_mean,prec_E_R_std,rec_E_R_mean,rec_E_R_std,prec_E_T_mean,prec_E_T_std,rec_E_T_mean,rec_E_T_std,domain
5,9.068615238621831,19.932609659200523,0.3548676710702092,0.1809265049509289,0.47264119883965344,0.07583391019614884,0.5146642751113311,0.19514304707699037,0.5796937615498136,0.14393047266391776,0.6015091538842158,0.1845777682172567,lightbox
10,8.15373788452521,9.219355613585005,0.3249516847261392,0.12992454994220468,0.4792345807514768,0.05711902816064909,0.4946929737753587,0.14379211554214796,0.5921521223056563,0.11408378967020191,0.592791687283523,0.13351049374958163,lightbox
20,7.787869885645807,6.402921862106096,0.3158721983078522,0.09911859271388235,0.48134619415207003,0.04564817206412222,0.4918540326571004,0.10971849141095776,0.5943706647865884,0.0915597676661798,0.5958730826323603,0.10064951125208135,lightbox
30,7.6405564584573735,4.763896459794973,0.3110938845183316,0.07893516865713368,0.48254190390971247,0.037525661249460114,0.4905754576942108,0.08706984022366326,0.5956950690650724,0.07516668874242347,0.5980910440376052,0.07893496139533775,lightbox
50,7.645614201359451,3.6765160149688163,0.3071459848597299,0.06425260963631824,0.4840770499251622,0.03125467029645031,0.48895992083127165,0.07112714954176959,0.5976761208217094,0.06271480390505518,0.5985695200395844,0.06397623924591424,lightbox
75,7.515987146096304,2.8846464073729203,0.3073639602196824,0.05207059714965429,0.4836539935587008,0.025702196377318926,0.4911081147946561,0.057965725288100955,0.5960130165745032,0.051687327277656715,0.6017350321622958,0.05183790356460174,lightbox
100,7.740501273747533,2.4594163436710086,0.3019689030725842,0.045706139095232,0.4862400760665914,0.022695276901080863,0.4860163285502227,0.05100636963416825,0.6008752562208658,0.04596835983808703,0.5978720930232557,0.04515540582077611,lightbox
150,7.622583616912365,1.9870213142461448,0.3032785364405522,0.03805918850621631,0.48531043975520316,0.018973380583092458,0.488250123701138,0.04248564809062391,0.5987496086606543,0.03859461514181464,0.6004448292924295,0.0371206451109043,lightbox
200,7.697132504403591,1.6817750350398395,0.30142207213893424,0.03268782704176321,0.48603754167258567,0.016425400675625743,0.48659500247402276,0.03657746267825164,0.6000084632894819,0.03339099313401832,0.5992582879762494,0.03185530340408904,lightbox
300,7.672337968349456,1.3274877256788309,0.30159284548018406,0.026058258649031076,0.4856715900744819,0.013295553481777187,0.48714077189510147,0.029188897015189806,0.5991949724683489,0.026912333898421292,0.6000781791192478,0.0251598137546622,lightbox
500,7.709097714424133,1.02427830930938,0.3007469199940626,0.02029304446712242,0.48548279572623576,0.010809567361563225,0.48600445324096986,0.022504099296787206,0.599489567339932,0.021299714977657185,0.5995771895101435,0.019379288784345184,lightbox
5,14.497365447066723,31.466403004128424,0.362491926803014,0.1830635578762758,0.402821851839911,0.051449207763333865,0.45818660287081336,0.19035302430087248,0.5400914595118861,0.12059624202689413,0.580494019138756,0.18306817840266823,sunlamp
10,13.280968527659773,10.41342536323868,0.3283021169716541,0.1340035100228823,0.4046975496821322,0.034951645619993615,0.4283797846889952,0.14389190853231534,0.5568961035068569,0.09639916839422866,0.5669605263157895,0.1373060930411507,sunlamp
20,12.61755808828771,6.722726866341335,0.31911768927161827,0.09840883533104974,0.4038420136442037,0.022882880932391544,0.42235287081339706,0.10837870740679885,0.5597699609657247,0.07603489263000053,0.5707625598086125,0.10129048376617583,sunlamp
30,12.830242513090372,5.383001815495663,0.3087398636526731,0.08060250292372308,0.4051779405503421,0.018032780148184314,0.41228229665071775,0.09051528573920939,0.5667525246405722,0.06541935083574826,0.5658421052631579,0.08441408886463313,sunlamp
50,12.414518082514405,3.8693251240033004,0.30843667025475424,0.06261083974420178,0.404495764744512,0.01333426314255441,0.4131788277511962,0.0706018333734914,0.5663479657869144,0.05281956342132747,0.5713738038277513,0.06313178659378546,sunlamp
75,12.608443565487862,3.3662697929463996,0.3028945102260495,0.053599932347965354,0.4055163701603508,0.01141337596602928,0.4074730861244019,0.06108121260601562,0.5707619483856652,0.04666485426983901,0.5680370813397129,0.05494599170943678,sunlamp
100,12.451779928565026,2.733307532123853,0.3028462504485109,0.04549559671130027,0.405370906088018,0.00943526358410692,0.4078618421052631,0.051965125075703326,0.5710387077366648,0.040645177158569794,0.5703893540669855,0.04520626966118138,sunlamp
150,12.322395494222642,2.215580136549851,0.3030735557947614,0.03733339047481149,0.4052172008718518,0.007699653206771277,0.4084826555023923,0.042875374358047176,0.5705559934640972,0.0344708625515736,0.5722003588516745,0.03655670032178217,sunlamp
200,12.370704210042954,1.9072883001980248,0.3011987800502332,0.03251815772115451,0.40548505671250334,0.0066878945980134216,0.40645155502392344,0.037434570441711605,0.5722375684162219,0.030594822416230016,0.5712936602870814,0.031411553806490695,sunlamp
300,12.323778395175934,1.5398885699448335,0.3008998923573736,0.026236196599525568,0.40548166592353074,0.0054714569035666455,0.4062918660287081,0.03036276325466712,0.5722698939286959,0.025681213833730145,0.5718223684210526,0.02480895870916637,sunlamp
500,12.299122194766998,1.156393419783004,0.30056315034086833,0.020113582421483294,0.40536104444136073,0.004358796281243744,0.405898923444976,0.023190155563138887,0.5724417344707762,0.02056573178208973,0.5722153110047847,0.01799480502656134,sunlamp
